Name,Artist,Price
Once and Forever,Alla Chakir,POA
Rosehip Tea,Alla Chakir,POA
We Stay In Eden,Alla Chakir,POA
Abstract Figure VI,Andy Dobbie,POA
Abstract Figure VII 1920x1922,Andy Dobbie,POA
Absurdus Oil on Canvas on Panel,Andy Dobbie,POA
Andy Dobbie Recling Nude III,Andy Dobbie,POA
La Demoiselle dYnys Mon Acrylic on Linen,Andy Dobbie,POA
Self isolated 1920x1936,Andy Dobbie,POA
The Space Between Us II 1920x1338,Andy Dobbie,POA
Torso 3,Andy Dobbie,POA
A Little Mystery To Me,David Kereszteny Lewis,POA
Alltwen,David Kereszteny Lewis,POA
Blooms Of Gray,David Kereszteny Lewis,POA
Breakwaters,David Kereszteny Lewis,POA
But One Path,David Kereszteny Lewis,POA
By the Rivers,David Kereszteny Lewis,POA
Call It Intuition,David Kereszteny Lewis,POA
Colwyn Last Visit,David Kereszteny Lewis,POA
Confusions and Afflictions,David Kereszteny Lewis,POA
Days Noises Steal,David Kereszteny Lewis,POA
Deganwys Dazzling Light,David Kereszteny Lewis,POA
Don't Leave My Side,David Kereszteny Lewis,POA
Enclosure,David Kereszteny Lewis,POA
Finding Direction,David Kereszteny Lewis,POA
From Gogarth Quarry,David Kereszteny Lewis,POA
From The Changes,David Kereszteny Lewis,POA
Glorifying Hand,David Kereszteny Lewis,POA
Halfway Hoping,David Kereszteny Lewis,POA
Harbour At Night,David Kereszteny Lewis,POA
Hoping for Something,David Kereszteny Lewis,POA
Last Few Days,David Kereszteny Lewis,POA
Left Colwyn,David Kereszteny Lewis,POA
Most Perfect Expression,David Kereszteny Lewis,POA
Movement of the Tide,David Kereszteny Lewis,POA
On an Edge,David Kereszteny Lewis,POA
Over the Flash,David Kereszteny Lewis,POA
Reminant,David Kereszteny Lewis,POA
Rhos Drawing,David Kereszteny Lewis,POA
Rhos Drawing 1,David Kereszteny Lewis,POA
Rules Explode,David Kereszteny Lewis,POA
Singing Prayers & Hymns,David Kereszteny Lewis,POA
So Windy,David Kereszteny Lewis,POA
Some Guilt Spilt,David Kereszteny Lewis,POA
Son Of The Soil,David Kereszteny Lewis,POA
Water Reflection,David Kereszteny Lewis,POA
Welcomed Many Summers,David Kereszteny Lewis,POA
Wind & The Rain,David Kereszteny Lewis,POA
Y Troi Dwy,Gareth Nash,POA
Y Troi Un,Gareth Nash,POA
May,Glen Farrelly,POA
Sacred,Glen Farrelly,POA
Torso,Jo-Anna Duncalf,POA
'Afon Dusk'. 74x74cm. Acrylic and mixed media on canvas,Jon Clayton,POA
"'After the Rain', 74x74cm, Acrylic and Mixed media on canvas",Jon Clayton,POA
'Descent into the Valley'. 54x54cm. mixed media on found slate from the place of drawing in mid Wales.,Jon Clayton,POA
'Foel Caerynwch - The Hill from Everywhere'. Acrylic and mixed media on canvas 74x74cm white wood frame.,Jon Clayton,POA
"'Mawddach, Looking Back' Acrylic and mixed media on canvas 74x74cm white wood frame.",Jon Clayton,POA
'Parting of the Ways'. 74x74cm. Mixed media on canvas,Jon Clayton,POA
Abstract1 259,Mfikela Jean Samuel,POA
AfricanFeel 400,Mfikela Jean Samuel,POA
AfricanFeel2 400,Mfikela Jean Samuel,POA
HeritageWithCobweb 450,Mfikela Jean Samuel,POA
Kinambo 500,Mfikela Jean Samuel,POA
NaturalMystic 500,Mfikela Jean Samuel,POA
Traveller2 400,Mfikela Jean Samuel,POA
Travellers1 300,Mfikela Jean Samuel,POA
BronzeHorse,Nick Elphick,POA
DeerHead,Nick Elphick,POA
Deers,Nick Elphick,POA
Horse,Nick Elphick,POA
Big Blue,Steve Page,POA
Crow,Steve Page,POA
Pony,Steve Page,POA
Twrch,Steve Page,POA
ST 1 Chalice,Steve Tootell,POA
ST 11 Steve Jar ST 11,Steve Tootell,POA
ST 12 - Bottle,Steve Tootell,POA
ST 13 Tall Blue Brown Jar,Steve Tootell,POA
ST 14 Tall Blue Jar,Steve Tootell,POA
ST 15 Tall Japanese Text,Steve Tootell,POA
ST 16 Steve Pitcher ST16,Steve Tootell,POA
ST 2 Jar,Steve Tootell,POA
ST 3 Shell Feet Shino Vase,Steve Tootell,POA
ST 7 Sod Sil Bottle,Steve Tootell,POA
ST 8 JAR,Steve Tootell,POA
Llyn Gwynant Wedding Day,Susan Cantrill Williams,POA
Llyn Gwynant Winter Colours,Susan Cantrill Williams,POA
Sound and Vision,Susan Cantrill Williams,POA
Tal y Fan,Susan Cantrill Williams,POA
